article_id,gold_label,pred_label,error_type,label_review_note,title,model_reason
NEWS-0001,긍정,중립,긍정 개선 요소를 중립으로 과소평가,안전·충전·지원 개선을 간접 긍정으로 볼지 라벨 가이드에 명확히 적을 필요가 있음,"“안심하고 즐긴다”…‘몰캉스 특수’ 롯데월드타워·몰, 안전관리 체...","대형 쇼핑몰의 전기차 화재 대응 및 충전 인프라 운영을 소개하는 내용으로, 국내 전기차 수요·보급·등록대수의 증감에 미치는 직접적인 영향이 명확하지 않습니다."
NEWS-0003,긍정,중립,긍정 개선 요소를 중립으로 과소평가,안전·충전·지원 개선을 간접 긍정으로 볼지 라벨 가이드에 명확히 적을 필요가 있음,"기아 초록여행, 10월 깊어가는 가을로 떠날 장애인 가족 28가정 모집","장애인 가족의 이동 편의를 높이는 사회공헌 및 특정 차량의 활용 사례에 관한 내용으로, 국내 전기차 전체의 수요·보급·등록대수 증가나 감소에 미치는 영향은 제한적이고 불명확합니다."
NEWS-0006,긍정,중립,긍정 개선 요소를 중립으로 과소평가,안전·충전·지원 개선을 간접 긍정으로 볼지 라벨 가이드에 명확히 적을 필요가 있음,"한국피아이엠 주가, 급등세... 무슨 회사길래?","한국피아이엠의 전기차용 금속 부품 사업 확대와 주가 급등을 다룬 기업 소개성 내용이지만, 국내 전기차 전체의 수요·보급·등록대수 증가나 감소에 미칠 직접적인 영향은 불명확합니다."
NEWS-0009,긍정,중립,국내 기준과 해외 시장 영향 혼재,국내 시장 기준을 엄격히 적용하면 중립일 수 있으므로 gold_label 재검토 후보,"정의선 회장, 튀르키예 공장 점검...'아이오닉 3'로 유럽 전기차 시장 공...","유럽 시장 공략과 신차 출시 계획에 관한 내용으로, 국내 전기차 시장의 수요·보급·등록대수에 미치는 직접적인 영향이 명확하지 않습니다."
NEWS-0010,긍정,중립,국내 기준과 해외 시장 영향 혼재,국내 시장 기준을 엄격히 적용하면 중립일 수 있으므로 gold_label 재검토 후보,튀르키예 간 정의선… '아이오닉 3'로 유럽 B세그먼트 시장 돌파,"유럽 시장을 겨냥한 현대차의 신차 양산 준비와 현장 점검에 관한 내용으로, 국내 전기차 수요·보급·등록대수에 미치는 직접적인 영향은 불명확하다."
NEWS-0013,긍정,중립,국내 기준과 해외 시장 영향 혼재,국내 시장 기준을 엄격히 적용하면 중립일 수 있으므로 gold_label 재검토 후보,"상반기 유럽 전기차 판매 '역대 최대' 기아, 맞춤형 EV 설루션 승부수","기아의 유럽 판매 호조와 PV5 신규 라인업 가격 및 보조금 관련 내용은 특정 기업·차종의 정보에 해당하며, 국내 전기차 시장 전체의 수요·보급·등록 증가에 미치는 영향은 명확하지 않습니다."
NEWS-0020,부정,중립,부정 위험을 중립으로 과소평가,비용·안전·정책 위험은 소비자 신뢰 하락 가능성을 더 강하게 반영할지 검토,"‘하이브리드 질주’…현대차·기아, 7월 美서 16.5만대 판매 ‘역대 최...","현대차·기아의 유럽 전기차 판매가 역대 최대를 기록했다는 해외 실적 사실이지만, 국내 전기차 수요·보급·등록대수에 직접 미치는 영향은 제한적이고 불명확하다."
NEWS-0024,긍정,중립,긍정 개선 요소를 중립으로 과소평가,안전·충전·지원 개선을 간접 긍정으로 볼지 라벨 가이드에 명확히 적을 필요가 있음,"새 가치체계 선포한 현엔…""에너지 기업 변신 가속""","현대엔지니어링의 전기차 충전소 구축·운영 사업 확대 계획은 충전 인프라 개선에 기여할 가능성이 있으나, 국내 전기차 수요·보급·등록대수 증가로 직접 이어질 규모와 시점이 명확하지 않다."
NEWS-0027,긍정,중립,긍정 개선 요소를 중립으로 과소평가,안전·충전·지원 개선을 간접 긍정으로 볼지 라벨 가이드에 명확히 적을 필요가 있음,"성균관대 ""엄숭호 교수팀, 버려지는 DNA로 차세대 아연 배터리 성능 대...","수계 아연 이온 배터리의 성능 개선 가능성을 다룬 연구 단계의 내용으로, 장기적으로 전기차 배터리의 안전성과 비용 문제를 완화할 여지는 있다. 그러나 실제 전기차 적용이나 상용화, 국내 시장의 수요·보급·등록 증가로 이어질 영향은 확인되지 않았다."
NEWS-0028,긍정,중립,긍정 개선 요소를 중립으로 과소평가,안전·충전·지원 개선을 간접 긍정으로 볼지 라벨 가이드에 명확히 적을 필요가 있음,"중앙대, 단열·열저장·난연 통합한 바이오기반 열관리 복합소재 개발","바이오 기반 열관리 복합소재 개발은 배터리 열폭주와 화재 위험을 낮출 가능성이 있는 기술적 진전이지만, 아직 연구개발 단계의 내용으로 국내 전기차 수요·보급·등록대수 증가에 미치는 직접적 영향은 불확실하다."
