article_id,split,gold_label,label_reason,ambiguous_note,search_query,matched_queries,duplicate_count,title,description,originallink,link,pubDate_iso
NEWS-0001,dev,중립,"특정 시설이 전기차 화재 대응 시스템을 구축한 내용으로, 해당 시설의 안전 관리 강화와 별개로 국내 전기차 시장 전체의 수요·보급·소비자 신뢰에 미치는 영향은 불명확함",,전기차,"전기차, 전기차 충전, 전기차 판매",3,"“안심하고 즐긴다”…‘몰캉스 특수’ 롯데월드타워·몰, 안전관리 체...","최근 전기차 화재라는 새로운 변수가 등장하면서, 주차장도 화재 위험이 상존하는 장소가 됐다. 롯데월드타워·몰은 전기차 충전소 103면(충전기 93기)을 운영하며, 자체 전기차 화재대응 시스템을 구축했다. 열화상...",https://www.munhwa.com/article/11606785?ref=naver,https://n.news.naver.com/mnews/article/021/0002808719?sid=101,2026-08-03T11:31:00+09:00
NEWS-0002,dev,중립,"국내 중고 전기차 시장에서 여러 차종의 거래가 고르게 나타나지만, 전체 거래량이나 등록대수가 증가했다고 볼 근거는 제목과 요약문만으로 충분하지 않음",,전기차,"전기차, 전기차 가격, 전기차 판매",3,"""아이오닉5·EV6 쏠림 줄었다""···중고 전기차 시장 '춘추전국시대'",국내 중고 전기차 시장이 특정 인기 차종 중심에서 벗어나 다양한 모델이 경쟁하는 '다차종 시대'로... 다양한 전기차 가 고르게 거래되며 쏠림 현상이 완화되는 모습이다. 전기차 보급 확대와 함께 신차 라인업이...,https://www.sisajournal-e.com/news/articleView.html?idxno=422835,https://www.sisajournal-e.com/news/articleView.html?idxno=422835,2026-08-03T11:30:00+09:00
NEWS-0003,dev,중립,"장애인 가족 여행지원 프로그램이 중심이고 전기차는 제공 차량의 특징으로 등장해, 국내 전기차 시장 전체의 수요·보급에 미치는 영향은 불명확함",,전기차,전기차,1,"기아 초록여행, 10월 깊어가는 가을로 떠날 장애인 가족 28가정 모집","국내 전기차 최초로 측면 출입 방식을 적용해 휠체어 승하차 편의성을 높인 차량으로, 넓은 실내 공간과 안정적인 주행 성능을 바탕으로 장거리 이동의 피로를 줄인다. 초록여행은 여행 지원 외에도 라디오 캠페인...",https://www.welfarenews.net/news/articleView.html?idxno=208967,https://www.welfarenews.net/news/articleView.html?idxno=208967,2026-08-03T11:28:00+09:00
NEWS-0004,dev,긍정,"PV5 라인업 확대와 구매·정비·중고차 처분까지 전 주기 지원 강화로, 국내 소비자의 전기차 선택지와 이용 편의성이 개선될 가능성이 있음",,전기차,"전기차, 전기차 가격, 전기차 충전, 전기차 판매",4,"기아, PV5 라인업 10종으로 확대… 전기차 전 주기 지원 강화","확대하고, 전기차 구매부터 정비와 중고차 처분까지 차량 이용 전 과정에 걸친 고객 지원을 강화한다. 3일 기아에 따르면 PV5 신규 모델과 연식변경 모델인 'The 2027 PV5' 'The 2027 EV6'의 계약을 시작한다. 올해 초 전기차 ...",https://www.1conomynews.co.kr/news/articleView.html?idxno=49815,https://www.1conomynews.co.kr/news/articleView.html?idxno=49815,2026-08-03T11:24:00+09:00
NEWS-0005,dev,중립,"미국 시장의 현대차·기아 전기차 판매 감소 내용으로, 국내 전기차 시장 전체의 수요·보급·등록대수에 미치는 영향은 불명확함",,전기차,"전기차, 전기차 가격, 전기차 보조금, 전기차 충전, 전기차 판매",5,"현대차·기아, 7월 미국 판매 역대 최대…하이브리드가 만든 5% 성장",전체 판매는 전년보다 5% 늘었지만 증가세의 중심은 순수 전기차 가 아니라 하이브리드차였다. 연합뉴스에... 반면 같은 기간 전기차 판매는 21.6% 감소했다. 전체 친환경차 판매는 33.3% 늘었지만 증가분의 대부분을...,https://www.cbci.co.kr/news/articleView.html?idxno=594067,https://www.cbci.co.kr/news/articleView.html?idxno=594067,2026-08-03T11:24:00+09:00
NEWS-0006,dev,중립,"특정 기업의 주가와 기술 사업 소개가 중심이고 전기차는 여러 적용 분야 중 하나로 언급돼, 국내 전기차 시장 전체에 미치는 영향은 불명확함",,전기차,전기차,1,"한국피아이엠 주가, 급등세... 무슨 회사길래?","구축하고 있으며, 고강도·고정밀 금속 부품을 국내외 고객사에 공급하고 있다. 또한 MIM 기술을 바탕으로 전기차 와 로봇, 의료기기 등 고부가가치 산업 분야로 적용 범위를 확대하며 사업을 전개하고 있다.",https://www.ggilbo.com/news/articleView.html?idxno=1172954,https://www.ggilbo.com/news/articleView.html?idxno=1172954,2026-08-03T11:24:00+09:00
NEWS-0007,dev,중립,"배터리 열폭주를 줄이기 위한 복합소재 연구 결과로, 실제 차량 적용이나 상용화가 확인되지 않아 국내 전기차 시장 전체에 미치는 영향은 아직 불명확함",,전기차,"배터리 화재, 전기차",2,"중앙대, 전기차 ·ESS 배터리 열폭주 늦추는 복합소재 개발","연구팀은 이번 소재가 전기차 배터리 모듈과 팩, 대규모 에너지저장장치에서 셀 사이의 급격한 열전달을 늦추고 온도 상승을 완화하는 데 활용될 수 있을 것으로 보고 있다. 연구 결과는 '다기능성 열 절연을...",http://www.metroseoul.co.kr/article/20260803500183,http://www.metroseoul.co.kr/article/20260803500183,2026-08-03T11:24:00+09:00
NEWS-0008,dev,긍정,"내연기관차 보유 고객의 전기차 구매 시 100만원 지원과 중고 전기차 배터리 상태 정보 제공이 포함돼, 구매 부담과 보유 불확실성을 낮출 가능성이 있음",,전기차,"전기차, 전기차 가격, 전기차 충전, 전기차 판매",4,"기아, 전기차 전 주기 맞춤 지원… PV5·EV6 상품성 강화","내연기관 보유 고객이 주요 전기차 를 구매하면 ‘EV Change 지원금’ 100만원을 제공하고, EV3·EV4에는 36개월... 일부 전기차 와 사업용 차량에 시범 적용한다. 중고 전기차 에는 배터리 건강 상태와 충·방전 횟수...",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202608031025146640519,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202608031025146640519,2026-08-03T11:22:00+09:00
NEWS-0009,dev,중립,"튀르키예 생산과 유럽 시장 공략이 중심으로, 국내 전기차 시장 전체의 수요·보급·등록대수에 미치는 영향은 불명확함",,전기차,"전기차, 전기차 판매",2,"정의선 회장, 튀르키예 공장 점검...'아이오닉 3'로 유럽 전기차 시장 공...",현대자동차그룹이 유럽 전략 소형 전기차 '아이오닉 3' 앞세워 유럽 시장 공략에 속도를 낸다. 정의선... '아이오닉 3'는 현대차가 유럽 시장을 겨냥해 처음 선보이는 B세그먼트 전기차 이자 현대차의 전기차 전용 브랜드...,https://www.redian.org/news/articleView.html?idxno=257056,https://www.redian.org/news/articleView.html?idxno=257056,2026-08-03T11:20:00+09:00
NEWS-0010,dev,중립,"튀르키예 생산과 유럽 시장 공략이 중심으로, 국내 전기차 시장 전체의 수요·보급·등록대수에 미치는 영향은 불명확함",,전기차,"전기차, 전기차 가격, 전기차 판매",3,튀르키예 간 정의선… '아이오닉 3'로 유럽 B세그먼트 시장 돌파,"정의선 현대자동차그룹 회장이 튀르키예 생산 현장을 찾아 유럽 전략 전기차 '아이오닉 3'의 양산 준비 상황을 직접 점검했다. 올해 상반기 유럽에서 전기차 판매는 역대 최대를 기록했지만, 현대차의 전체 판매와 그룹...",http://www.the-biz.co.kr/news/articleView.html?idxno=725513,http://www.the-biz.co.kr/news/articleView.html?idxno=725513,2026-08-03T11:18:00+09:00
